team,games,shots,xg,pens_for,pens_against
Argentina,4,57,4.81,1,2
Australia,3,32,2.45,2,1
Belgium,7,107,11.94,1,0
Brazil,5,103,12.31,0,0
Colombia,4,41,3.31,0,2
Costa Rica,3,27,1.55,1,0
Croatia,7,112,10.08,2,2
Denmark,4,40,2.97,0,3
Egypt,3,30,2.2,1,2
England,7,93,9.53,3,1
France,7,79,6.45,3,1
Germany,3,73,6.32,0,0
Iceland,3,34,3.15,2,1
Iran,3,22,1.92,1,1
Japan,4,43,4.1,1,0
Mexico,4,61,4.28,1,1
Morocco,3,39,3.59,0,0
Nigeria,3,38,2.6,1,2
Panama,3,24,2.4,0,2
Peru,3,32,2.1,1,0
Poland,3,32,3.2,0,0
Portugal,4,56,3.27,2,1
Russia,5,49,4.14,1,1
Saudi Arabia,3,33,1.5,2,0
Senegal,3,29,3.67,0,0
Serbia,3,35,4.09,0,0
South Korea,3,34,3.01,0,2
Spain,4,72,7.9,0,2
Sweden,5,56,5.8,2,0
Switzerland,4,55,3.78,0,1
Tunisia,3,37,4.2,1,1
Uruguay,5,63,7.4,0,0
